Country_N,Country_C,FK,Pop_21
Aruba,ABW,533,107195
Afghanistan,AFG,4,39835428
Angola,AGO,24,33933611
Albania,ALB,8,2811666
Andorra,AND,20,77354
United Arab Emirates,ARE,784,9991083
Argentina,ARG,32,45808747
Armenia,ARM,51,2968128
American Samoa,ASM,16,55103
Antigua and Barbuda,ATG,28,98728
Australia,AUS,36,25739256
Austria,AUT,40,8956279
Azerbaijan,AZE,31,10145212
Burundi,BDI,108,12255429
Belgium,BEL,56,11587882
Benin,BEN,204,12451031
Burkina Faso,BFA,854,21497097
Bangladesh,BGD,50,166303494
Bulgaria,BGR,100,6899125
Bahrain,BHR,48,1748295
"Bahamas, The",BHS,44,396914
Bosnia and Herzegovina,BIH,70,3263459
Belarus,BLR,112,9340314
Belize,BLZ,84,404915
Bermuda,BMU,60,63867
Bolivia,BOL,68,11832936
Brazil,BRA,76,213993441
Barbados,BRB,52,287708
Brunei Darussalam,BRN,96,441532
Bhutan,BTN,64,779900
Botswana,BWA,72,2397240
Central African Republic,CAF,140,4919987
Canada,CAN,124,38246108
Switzerland,CHE,756,8697723
Chile,CHL,152,19212362
China,CHN,156,1412360000
Cote d'Ivoire,CIV,384,27053629
Cameroon,CMR,120,27224262
"Congo, Dem. Rep.",COD,180,92377986
"Congo, Rep.",COG,178,5657017
Colombia,COL,170,51265841
Comoros,COM,174,888456
Cabo Verde,CPV,132,561901
Costa Rica,CRI,188,5139053
Cuba,CUB,192,11317498
Curacao,CUW,531,152369
Cayman Islands,CYM,136,66498
Cyprus,CYP,196,1215588
Czech Republic,CZE,203,10703446
Germany,DEU,276,83129285
Djibouti,DJI,262,1002197
Dominica,DMA,212,72172
Denmark,DNK,208,5856733
Dominican Republic,DOM,214,10953714
Algeria,DZA,12,44616626
Ecuador,ECU,218,17888474
"Egypt, Arab Rep.",EGY,818,104258327
Eritrea,ERI,232,
Spain,ESP,724,47326687
Estonia,EST,233,1329254
Ethiopia,ETH,231,117876226
Finland,FIN,246,5541696
Fiji,FJI,242,902899
France,FRA,250,67499343
Faroe Islands,FRO,234,49053
"Micronesia, Fed. Sts.",FSM,583,116255
Gabon,GAB,266,2278829
United Kingdom,GBR,826,67326569
Georgia,GEO,268,3708610
Ghana,GHA,288,31732128
Gibraltar,GIB,292,33691
Guinea,GIN,324,13497237
"Gambia, The",GMB,270,2486937
Guinea-Bissau,GNB,624,2015490
Equatorial Guinea,GNQ,226,1449891
Greece,GRC,300,10664568
Grenada,GRD,308,113015
Greenland,GRL,304,56653
Guatemala,GTM,320,17109746
Guam,GUM,316,170184
Guyana,GUY,328,790329
"Hong Kong SAR, China",HKG,344,7413100
Honduras,HND,340,10062994
Croatia,HRV,191,3899000
Haiti,HTI,332,11541683
Hungary,HUN,348,9709886
Indonesia,IDN,360,276361788
Isle of Man,IMN,833,85410
India,IND,356,1393409033
Ireland,IRL,372,5028230
"Iran, Islamic Rep.",IRN,364,85028760
Iraq,IRQ,368,41179351
Iceland,ISL,352,372295
Israel,ISR,376,9364000
Italy,ITA,380,59066225
Jamaica,JAM,388,2973462
Jordan,JOR,400,10269022
Japan,JPN,392,125681593
Kazakhstan,KAZ,398,19002586
Kenya,KEN,404,54985702
Kyrgyz Republic,KGZ,417,6694200
Cambodia,KHM,116,16946446
Kiribati,KIR,296,121388
St. Kitts and Nevis,KNA,659,53546
"Korea, Rep.",KOR,410,51744876
Kuwait,KWT,414,4328553
Lao PDR,LAO,418,7379358
Lebanon,LBN,422,6769151
Liberia,LBR,430,5180208
Libya,LBY,434,6958538
St. Lucia,LCA,662,184401
Liechtenstein,LIE,438,38254
Sri Lanka,LKA,144,22156000
Lesotho,LSO,426,2159067
Lithuania,LTU,440,2795321
Luxembourg,LUX,442,639070
Latvia,LVA,428,1883162
"Macao SAR, China",MAC,446,658391
St. Martin (French part),MAF,663,39239
Morocco,MAR,504,37344787
Monaco,MCO,492,39520
Moldova,MDA,498,2573928
Madagascar,MDG,450,28427333
Maldives,MDV,462,543620
Mexico,MEX,484,130262220
Marshall Islands,MHL,584,59618
North Macedonia,MKD,807,2065092
Mali,MLI,466,20855724
Malta,MLT,470,516869
Myanmar,MMR,104,54806014
Montenegro,MNE,499,620173
Mongolia,MNG,496,3329282
Northern Mariana Islands,MNP,580,57910
Mozambique,MOZ,508,32163045
Mauritania,MRT,478,4775110
Mauritius,MUS,480,1266060
Malawi,MWI,454,19647681
Malaysia,MYS,458,32776195
New Caledonia,NCL,540,272620
Niger,NER,562,25130810
Nigeria,NGA,566,211400704
Nicaragua,NIC,558,6702379
Netherlands,NLD,528,17533405
Norway,NOR,578,5408320
Nepal,NPL,524,29674920
Nauru,NRU,520,10873
New Zealand,NZL,554,5122600
Oman,OMN,512,5223376
Pakistan,PAK,586,225199929
Panama,PAN,591,4381583
Peru,PER,604,33359416
Philippines,PHL,608,111046910
Palau,PLW,585,18174
Papua New Guinea,PNG,598,9119005
Poland,POL,616,37781024
Puerto Rico,PRI,630,3263584
"Korea, Dem. People's Rep.",PRK,408,25887045
Portugal,PRT,620,10299423
Paraguay,PRY,600,7219641
West Bank and Gaza,PSE,275,4922749
French Polynesia,PYF,258,282534
Qatar,QAT,634,2930524
Romania,ROU,642,19115146
Russian Federation,RUS,643,143446060
Rwanda,RWA,646,13276517
Saudi Arabia,SAU,682,35340680
Sudan,SDN,729,44909351
Senegal,SEN,686,17196308
Singapore,SGP,702,5453566
Solomon Islands,SLB,90,703995
Sierra Leone,SLE,694,8141343
El Salvador,SLV,222,6518500
San Marino,SMR,674,34010
Somalia,SOM,706,16359500
Serbia,SRB,688,6844078
South Sudan,SSD,728,11381377
Sao Tome and Principe,STP,678,223364
Suriname,SUR,740,591798
Slovak Republic,SVK,703,5447247
Slovenia,SVN,705,2107007
Sweden,SWE,752,10415811
Eswatini,SWZ,748,1172369
Sint Maarten (Dutch part),SXM,534,42846
Seychelles,SYC,690,99202
Syrian Arab Republic,SYR,760,18275704
Turks and Caicos Islands,TCA,796,39226
Chad,TCD,148,16914985
Togo,TGO,768,8478242
Thailand,THA,764,69950844
Tajikistan,TJK,762,9749625
Turkmenistan,TKM,795,6117933
Timor-Leste,TLS,626,1343875
Tonga,TON,776,106759
Trinidad and Tobago,TTO,780,1403374
Tunisia,TUN,788,11935764
Turkiye,TUR,792,85042736
Tuvalu,TUV,798,11925
Tanzania,TZA,834,61498438
Uganda,UGA,800,47123533
Ukraine,UKR,804,43814581
Uruguay,URY,858,3485152
United States,USA,840,331893745
Uzbekistan,UZB,860,34915100
St. Vincent and the Grenadines,VCT,670,111269
"Venezuela, RB",VEN,862,28704947
British Virgin Islands,VGB,92,30423
Virgin Islands (U.S.),VIR,850,105870
Vietnam,VNM,704,98168829
Vanuatu,VUT,548,314464
Samoa,WSM,882,200144
"Yemen, Rep.",YEM,887,30490639
South Africa,ZAF,710,60041996
Zambia,ZMB,894,18920657
Zimbabwe,ZWE,716,15092171
